item_code;minimum_inventory;inventory_basis_source;paired_historical_product;pre_t_order_count
11061024001;53;random_allocation_historical_average_proxy;;1
11061027001;53;random_allocation_historical_average_proxy;;1
11061030001;6;historical_empirical_quantile;;5
11061031001;3;historical_empirical_quantile;;5
11061049001;6;historical_empirical_quantile;;3
11061050001;53;random_allocation_historical_average_proxy;;1
11061053001;9;historical_empirical_quantile;;9
11061055001;2;historical_empirical_quantile;;3
11061071001;15;historical_empirical_quantile;;78
11062015001;10;historical_empirical_quantile;;9
11062019001;3;historical_empirical_quantile;;12
11062023001;5;historical_empirical_quantile;;10
11062025001;7;historical_empirical_quantile;;22
11070001001;31;historical_empirical_quantile;;52
11070003001;9;historical_empirical_quantile;;17
11070004001;457;historical_empirical_quantile;;51
11070006001;53;random_allocation_historical_average_proxy;;1
11070007001;422;historical_empirical_quantile;;39
11070011001;12;historical_empirical_quantile;;14
11070012001;12;historical_empirical_quantile;;3
11070013001;3;historical_empirical_quantile;;4
11070014001;2;historical_empirical_quantile;;10
11070015001;24;historical_empirical_quantile;;8
11070018001;3;historical_empirical_quantile;;4
11070019001;53;random_allocation_historical_average_proxy;;1
11070027001;53;random_allocation_historical_average_proxy;;1
11070029001;6;historical_empirical_quantile;;16
11070030001;1;historical_empirical_quantile;;3
11070046001;53;random_allocation_historical_average_proxy;;1
11070050001;10;historical_empirical_quantile;;6
11070051001;53;random_allocation_historical_average_proxy;;1
11071001001;12;historical_empirical_quantile;;20
11071002001;2;historical_empirical_quantile;;6
11071004001;16;historical_empirical_quantile;;11
11071005001;30;historical_empirical_quantile;;5
11071008001;10;historical_empirical_quantile;;8
11071012001;1;historical_empirical_quantile;;2
11071013001;53;random_allocation_historical_average_proxy;;1
11071018001;2;historical_empirical_quantile;;4
